Scene,Text,TimeTaken,NumberOfWords,clean_text,emotion
1,"Did you hear that? They shut down the main reactor. We'll be destroyed for sure. This is madness. We're doomed. There'll be no escape for the princess this time. What's that? R2-D2, where are you? At last. Where have you been? They're heading in this direction. What are we going to do? We'll be sent to the Kessel spice mines or smashed into who knows what. Wait a minute. Where are you going? The Death Star plans are not in the main computer. Where are those transmissions you intercepted? What have you done with those plans? We intercepted no transmissions. This is a consular ship. We're on a diplomatic mission. If this is a consular ship, where is the ambassador? Commander, tear this ship apart until you've found those plans! And bring me the passengers! I want them alive! There's one. Set for stun. She'll be all right. Inform Lord Vader we have a prisoner. Hey. You're not permitted in there. It's restricted. You'll be deactivated for sure. Don't call me a mindless philosopher, you overweight glob of grease. Come out, before somebody sees you. Secret mission? What plans? What are you talking about? I'm not getting in there. I'm going to regret this. - There goes another one. - Hold your fire. There's no life forms. It must have short-circuited. That's funny. The damage doesn't look as bad from out here. Are you sure this thing is safe? Darth Vader. Only you could be so bold. The Imperial Senate will not sit still for this. - You've attacked a diplomatic-- - Don't act so surprised, Your Highness. You weren't on any mercy mission this time. Several transmissions were beamed to this ship by rebel spies.",89.61199999999998,286,Did you hear that They shut down main reactor We will be destroyed for sure This is madness We are doomed There will be escape for princess time What is that where are you At last Where have you been They are heading in direction What are we going to do We will be sent to spice mines or smashed into who knows what Wait minute Where are you going plans are not in main computer Where are transmissions you intercepted What have you done with plans We intercepted transmissions This is consular ship We are on diplomatic mission If this is consular ship where is ambassador tear ship apart until you have found plans And bring me passengers I want them alive There is Set for stun She will be all right Inform we have prisoner Hey You are not permitted in there It is restricted You will be deactivated for sure Do not call me mindless philosopher you overweight glob of grease Come out before somebody sees you Secret mission What plans What are you talking about I am not getting in there I am going to regret this There goes one Hold your fire There is life forms It must have short circuited That is funny damage does not look as bad from out here Are you sure thing is safe Only you could be so bold will not sit still for this You have attacked Do not act so surprised Your You were not on mercy mission time Several transmissions were beamed to ship by rebel spies,curiosity
2,"I want to know what happened to the plans they sent you. I don't know what you're talking about. I'm a member of the Imperial Senate on a diplomatic mission to Alderaan. You are part of the Rebel Alliance and a traitor. Take her away! Holding her is dangerous. If word gets out... it could generate sympathy for the rebellion in the senate. I have traced the rebel spies to her. Now she is my only link to finding their secret base. She'll die before she'll tell you anything. Leave that to me. Send a distress signal, and then inform the senate that all aboard were killed. Lord Vader, the battle station plans are not aboard this ship... and no transmissions were made. An escape pod was jettisoned during the fighting, but no life forms were aboard. She must have hidden the plans in the escape pod. Send a detachment down to retrieve them. See to it personally, Commander. There'll be no one to stop us this time. Yes, sir. How did we get into this mess? I really don't know how. We seem to be made to suffer. It's our lot in life. I've got to rest before I fall apart. My joints are almost frozen. What a desolate place this is. Where do you think you're going? Well, I'm not going that way. It's much too rocky. This way is much easier. What makes you think there are settlements over there? Don't get technical with me. What mission? What are you talking about? I've just about had enough of you. Go that way. You'll be malfunctioning within a day, you nearsighted scrap pile. And don't let me catch you following me, begging for help... because you won't get it. No more adventures. I'm not going that way. That malfunctioning little twerp. This is all his fault.",88.772,308,I want to know what happened to plans they sent you I do not know what you are talking about I am member of on diplomatic mission to You are part of and traitor Take her away Holding her is dangerous If word gets out it could generate sympathy for rebellion in I have traced rebel spies to her Now she is my only link to finding their secret base She will die before she will tell you anything Leave that to me Send distress signal and then inform that all aboard were killed battle station plans are not aboard ship and transmissions were made escape pod was jettisoned during fighting but life forms were aboard She must have hidden plans in escape pod Send detachment down to retrieve them See to it personally There will be one to stop us time Yes sir How did we get into mess I really do not know how We seem to be made to suffer It is our lot in life I have got to rest before I fall apart My joints are almost frozen desolate place this is Where do you think you are going Well I am not going way It is much too rocky way is much easier What makes you think there are settlements over there Do not get technical with me mission What are you talking about I have just about had enough of you Go way You will be malfunctioning within day you nearsighted scrap pile And do not let me catch you following me begging for help because you will not get it No more adventures I am not going way That malfunctioning little twerp This is all his fault,neutral
3,"He tricked me into going this way... but he'll do no better. Wait. What's that? A transport. I'm saved. Over here! Hey! Hey! Help! Please help! R2? R2-D2, it is you! It is you! Someone was in the pod. The tracks go off in this direction. Look, sir. Droids. We stopped. Wake up. Wake up! We're doomed. Do you think they'll melt us down? Don't shoot. Don't shoot. Will this never end? - Fine. Let's go. - Luke! Luke! Luke, tell Uncle if he gets a translator, be sure it speaks Bocce. Doesn't look like we have much choice, but I'll remind him. Yeah, we'll take that red one. No, not that one. I suppose you're programmed for etiquette and protocol. Protocol? It's my primary function, sir. I am well-versed in all the customs-- - I have no need for a protocol droid. - Of course you haven't, sir. Not in an environment such as this. That's why I have been programmed-- I need a droid who understands the binary language of moisture vaporators. Vaporators? Sir, my first job was programming binary load lifters... very similar to your vaporators in most respects. very similar to your vaporators in most respects. -Can you speak Bocce? -Of course. It's like a second language. -All right. Shut up. I'll take this one. -Shutting up, sir. Take these two to the garage. I want them cleaned up before dinner. But I was going into Tosche Station to pick up some power converters. You can waste time with your friends when your chores are done. Now come on. Get to it. All right. Come on.",89.12999999999998,270,He tricked me into going way but he will do no better Wait What is that transport I am saved Over here Hey Hey Help Please help it is you It is you Someone was in pod tracks go off in direction Look We stopped Wake up Wake up We are doomed Do you think they will melt us down Do not shoot Do not shoot Will this never end Fine Let us go tell if he gets translator be sure it speaks Does not look like we have much choice but I will remind him Yeah we will take red one No not I suppose you are programmed for etiquette and protocol It is my primary function I am well versed in I have need for protocol droid Of course you have not sir Not in environment such as this That is why I have been programmed-- I need droid who understands binary language of moisture vaporators Vaporators my first job was programming binary load lifters very similar to your vaporators in most respects very similar to your vaporators in most respects you speak -Of course It is like second language right Shut up I will take -Shutting up Take to garage I want them cleaned up before dinner But I was going into to pick up power converters You can waste time with your friends when your chores are done Now come on Get to it All right Come on,neutral
4,"And the red one. Come on. Come on, red. Let's go. - Uncle Owen. - Yeah? This R2 unit has a bad motivator. Look. Hey, what are you trying to push on us? Excuse me, sir, but that R2 unit is in prime condition, a real bargain. Uncle Owen, what about that one? What about that blue one? We'll take that one. - Take this away. - You'll be pleased with that one, sir. He really is in first-class condition. I've worked with him before. Here he comes. Let's go. Don't you forget this. Why I should stick my neck out for you is quite beyond my capacity. Thank the maker. This oil bath is going to feel so good. I've got such a bad case of dust contamination I can barely move. It just isn't fair. Biggs is right. I'm never gonna get out of here. Is there anything I might do to help? No, not unless you can alter time, speed up the harvest... or teleport me off this rock. I don't think so, sir. I'm only a droid and not very knowledgeable about such things. Not on this planet, anyway. As a matter of fact, I'm not even sure which planet I'm on. Well, if there's a bright centre to the universe... you're on the planet that it's farthest from. I see, sir. - You can call me Luke. - I see, Sir Luke. Just Luke. And I am C-3PO, human-cyborg relations. This is my counterpart, R2-D2. Hello. A lot of carbon scoring here. Looks like you've seen a lot of action. With all we've been through, I'm amazed we're in as good condition as we are... with the rebellion and all. You know of the rebellion against the Empire? That's how we came to be in your service, if you take my meaning, sir.",89.102,308,And red Come on Come on red Let us go Yeah unit has bad motivator Look Hey what are you trying to push on us Excuse me sir but that unit is in prime condition real bargain what about What about blue We will take Take this away You will be pleased with sir He really is in first class condition I have worked with him before Here he comes Let us go Do not you forget this Why I should stick my neck out for you is quite beyond my capacity Thank maker oil bath is going to feel so good I have got bad case of dust contamination I can barely move It just is not fair is right I am never going to get out of here Is there anything I might do to help No not unless you can alter time speed up harvest or teleport me off rock I do not think so I am only droid and not very knowledgeable about such things Not on planet anyway As matter of fact I am not even sure planet I am on Well if there is bright centre to universe you are on planet that it is farthest from I see You can call me I see Just And I am human cyborg relations This is my counterpart Hello lot of carbon scoring here Looks like you have seen lot of action With all we have been through I am amazed we are in as good condition as we are with rebellion and all You know of rebellion against That is how we came to be in your service if you take my meaning,gratitude
5,"- Have you been in many battles? - Several, I think. There's not much to tell. I'm not much more than an interpreter and not very good at telling stories. Well, not at making them interesting, anyway. Well, my little friend... you got something jammed in here real good. Were you on a Starcruiser or-- Help me, Obi-Wan Kenobi. You're my only hope. What's this? ""What is what''? He asked you a question. What is that? Help me, Obi-Wan Kenobi. You're my only hope. Help me, Obi-Wan Kenobi. You're my only hope. He says it's nothing, sir, merely a malfunction. Old data. Pay it no mind. Who is she? She's beautiful. I'm afraid I'm not quite sure, sir. I think she was a passenger on our last voyage. A person of some importance, I believe. - Our captain was-- - Is there any more to this recording? Behave yourself, R2. You're going to get us into trouble. It's all right. You can trust him. He's our new master. You're my only hope. He says he's the property of Obi-Wan Kenobi, a resident of these parts... and it's a private message for him. Frankly, I don't know what he's talking about. Our last master was Captain Antilles. But with all we've been through, this R2 unit has become a bit eccentric. Obi-Wan Kenobi. I wonder if he means old Ben Kenobi. I beg your pardon, sir, but do you know what he's talking about? I don't know anyone named Obi-Wan... but old Ben lives out beyond the Dune Sea. He's kind of a strange old hermit. I wonder who she is. Sounds like she's in trouble. I better play back the whole thing. He says the restraining bolt has short-circuited his recording system.",88.091,292,Have you been in many battles I think There is not much to tell I am not much more than interpreter and not very good at telling stories Well not at making them interesting anyway Well my little friend you got something jammed in here real good Were you on or-- Help me You are my only hope What is this What is what He asked you question What is that Help me You are my only hope Help me You are my only hope He says it is nothing sir merely malfunction Old data Pay it mind Who is she She is beautiful I am afraid I am not quite sure I think she was passenger on our last voyage person of importance I believe Our captain Is there any more to recording Behave yourself You are going to get us into trouble It is all right You can trust him He is our new master You are my only hope He says he is property of resident of parts and it is private message for him Frankly I do not know what he is talking about Our last master was But with all we have been through unit has become bit eccentric Obi I wonder if he means old I beg your pardon but do you know what he is talking about I do not know anyone named but old lives out beyond He is kind of strange old hermit I wonder who she is Sounds like she is in trouble I better play back whole thing He says restraining bolt has short circuited his recording system,fear
6,"He suggests that if you remove the bolt... he might be able to play back the entire recording. Oh, yeah. Well... I guess you're too small to run away on me if I take this off. Okay. There you go. Where'd she go? Bring her back. Play back the entire message. ""What message''? The one you've just been playing. The one you're carrying inside your rusty innards. Luke! Luke! I'll be right there, Aunt Beru. I'm sorry, sir, but he appears to have picked up a slight flutter. Here. See what you can do with him. I'll be right back. Just you reconsider playing that message for him. No, I don't think he likes you at all. No, I don't like you either. - That R2 unit might have been stolen. - What makes you think that? I stumbled across a recording while I was cleaning him. He says he belongs to someone called Obi-Wan Kenobi. I thought he might have meant old Ben. Do you know what he's talking about? I wonder if he's related to Ben. That wizard's just a crazy old man. Tomorrow, take that R2 unit to Anchorhead and have its memory erased. That'll be the end of it. It belongs to us now. But what if this Obi-Wan comes looking for him? He won't. I don't think he exists any more. He died about the same time as your father. - He knew my father? - I told you to forget it. Your only concern is to prepare those new droids for tomorrow. In the morning, I want them on the south ridge working on those condensers. Yes, sir. I think those new droids are gonna work out fine. In fact, I was also thinking about our agreement-- about me staying on another season. If these new droids work out, I want to apply to the academy this year. You mean the next semester before the harvest?",89.55900000000001,322,He suggests that if you remove bolt he might be able to play back entire recording Oh yeah Well I guess you are too small to run away on me if I take this off Okay There you go Where did she go Bring her back Play back entire message message one you have just been playing one you are carrying inside your rusty innards I will be right there I am sorry sir but he appears to have picked up slight flutter Here See what you can do with him I will be right back Just you reconsider playing message for him No I do not think he likes you at all No I do not like you either unit might have been stolen What makes you think that I stumbled across recording while I was cleaning him He says he belongs to someone called I thought he might have meant old Do you know what he is talking about I wonder if he is related to wizard 's just crazy old man Tomorrow take unit to and have its memory erased That will be end of it It belongs to us now But what if comes looking for him He will not I do not think he exists any more He died about same time as your father He knew my father I told you to forget it Your only concern is to prepare new droids for tomorrow In morning I want them on ridge working on condensers Yes I think new droids are going to work out fine In fact I was also thinking about our agreement-- about me staying on season If new droids work out I want to apply to academy year You mean next semester before harvest,caring
7,"Sure. There's more than enough droids. Harvest is when I need you the most. It's only one season more. This year we'll make enough on the harvest to hire more hands... and then you can go to the academy next year. You must understand I need you here, Luke. - But it's a whole 'nother year. - It's only one more season. That's what you said when Biggs and Tank left. - Where are you going? - Looks like I'm going nowhere. I have to go finish cleaning those droids. Owen, he can't stay here forever. Most of his friends have gone. It means so much to him. I'll make it up to him next year. I promise. Luke's just not a farmer, Owen. He has too much of his father in him. That's what I'm afraid of. - What are you doing hiding back there? - It wasn't my fault, sir. Please don't deactivate me. I told him not to go, but he's faulty, malfunctioning. - Kept babbling on about his mission. - Oh, no. That R2 unit has always been a problem. These astrodroids are getting quite out of hand. Even I can't understand their logic at times. How could I be so stupid? He's nowhere in sight. - Blast it. - Couldn't we go after him? It's too dangerous with the Sandpeople around. We'll have to wait till morning. Luke, I'm shutting the power down. I'll be there in a few minutes. Boy, am I gonna get it. -That droid's gonna cause me trouble. -He excels at that, sir. Come on. Have you seen Luke this morning? He said he had things to do before he started today, so he left early. - Did he take those new droids with him? - I think so. He better have those units in the south range repaired by midday... or there'll be hell to pay. There's a droid on the scanner. Dead ahead. It might be our little R2 unit. Hit the accelerator.",88.443,334,Sure There is more than enough droids Harvest is when I need you most It is only season more year we will make enough on harvest to hire more hands and then you can go to academy next year You must understand I need you here But it is whole nother year It is only more season That is what you said when and left Where are you going Looks like I am going nowhere I have to go finish cleaning droids he can not stay here forever Most of his friends have gone It means so much to him I will make it up to him next year I promise 's just not farmer He has too much of his father in him That is what I am afraid of What are you doing hiding back there It was not my fault Please do not deactivate me I told him not to go but he is faulty malfunctioning Kept babbling on about his mission Oh no unit has always been problem astrodroids are getting quite out of hand Even I can not understand their logic at times How could I be so stupid He is nowhere in sight Blast it Could not we go after him It is too dangerous with around We will have to wait till morning I am shutting power down I will be there in few minutes Boy am I going to get it -That 's going to because me trouble excels at that Come on Have you seen morning He said he had things to do before he started today so he left early Did he take new droids with him I think so He better have units in south range repaired by midday or there will be hell to pay There is droid on scanner Dead ahead It might be our little unit Hit accelerator,fear
8,"Where do you think you're going? Master Luke is your rightful owner now. We'll have no more of this Obi-Wan Kenobi gibberish. Don't talk to me of your mission. You're fortunate he doesn't blast you into a million pieces right here. No. It's all right, but I think we'd better go. What's wrong with him now? There are several creatures approaching from the southeast. Sandpeople. Or worse. Come on. Let's go have a look. Come on. There are two Banthas down there, but I don't see any-- Wait a second. They're Sandpeople all right. I can see one of them now. Hello there. Come here, my little friend. Don't be afraid. Don't worry. He'll be all right. Rest easy, son. You've had a busy day. You're fortunate to be all in one piece. Ben? Ben Kenobi? Boy, am I glad to see you. The Jundland Wastes are not to be travelled lightly. Tell me, young Luke, what brings you out this far? This little droid. He's searching for his former master... but I've never seen such devotion in a droid. He claims to be the property of an Obi-Wan Kenobi. Is he a relative of yours? Do you know who he's talking about? Obi-Wan Kenobi? Obi-Wan. Now, that's a name I've not heard in a long time. A long time. I think my uncle knows him. He said he was dead. He's not dead. Not yet. - You know him? - Of course I know him. He's me. I haven't gone by the name of Obi-Wan... since, oh, before you were born. Then the droid does belong to you. I don't seem to remember ever owning a droid.",89.33,278,Where do you think you are going is your rightful owner now We will have more of gibberish Do not talk to me of your mission You are fortunate he does not blast you into pieces right here No It is all right but I think we would better go What is wrong with him now There are several creatures approaching from southeast Or worse Come on Let us go have look Come on There are Banthas down there but I do not see Wait second They are all right I can see of them now Hello there Come here my little friend Do not be afraid Do not worry He will be all right Rest easy son You have had busy day You are fortunate to be all in piece Boy am I glad to see you are not to be travelled lightly Tell me young what brings you out this far little droid He is searching for his former master but I have never seen such devotion in droid He claims to be property of Is he relative of yours Do you know who he is talking about Obi Now that is name I have not heard in long time long time I think my uncle knows him He said he was dead He is not dead Not yet You know him Of course I know him He is me I have not gone by name of since oh before you were born Then droid does belong to you I do not seem to remember ever owning droid,caring
9,"Very interesting. I think we better get indoors. The Sandpeople are easily startled... but they'll soon be back-- and in greater numbers. 3PO. Where am I? I must have taken a bad step. Can you stand? We've gotta get out of here before the Sandpeople return. I don't think I can make it. You go on, Master Luke. There's no sense in you risking yourself on my account. I'm done for. No, you're not. What kind of talk is that? Quickly. They're on the move. My father didn't fight in the wars. He was a navigator on a spice freighter. That's what your uncle told you. He didn't hold with your father's ideals. Thought he should have stayed here and not gotten involved. - You fought in the Clone Wars? - Yes. I was once a Jedi knight, the same as your father. I wish I'd known him. He was the best starpilot in the galaxy... and a cunning warrior. I understand you've become quite a good pilot yourself. And he was a good friend. Which reminds me... I have something here for you. Your father wanted you to have this when you were old enough... but your uncle wouldn't allow it. He feared you might follow old Obi-Wan... on some damn-fool idealistic crusade, like your father did. Sir, if you'll not be needing me, I'll close down for a while. Go ahead. - What is it? - It's your father's lightsabre. This is the weapon of a Jedi knight. Not as clumsy or random as a blaster. An elegant weapon... for a more civilized age. For over a thousand generations... the Jedi knights were the guardians of peace and justice in the old Republic...",88.093,285,Very interesting I think we better get indoors are easily startled but they will soon be back-- and in greater numbers Where am I I must have taken bad step Can you stand We have got to get out of here before return I do not think I can make it You go on There is sense in you risking yourself on my account I am done for No you are not kind of talk is that Quickly They are on move My father did not fight in wars He was navigator on spice freighter That is what your uncle told you He did not hold with your father 's ideals Thought he should have stayed here and not gotten involved You fought in Yes I was once knight same as your father I wish I would known him He was best starpilot in galaxy and cunning warrior I understand you have become good pilot yourself And he was good friend Which reminds me I have something here for you Your father wanted you to have this when you were old enough but your uncle would not allow it He feared you might follow old on damn fool idealistic crusade like your father did if you will not be needing me I will close down for while Go ahead What is it It is your father 's lightsabre This is weapon of knight Not as clumsy or random as blaster elegant weapon for more civilized age For over generations knights were of peace and justice in old,neutral
10,"before the dark times... before the Empire. How did my father die? Ayoung Jedi named Darth Vader... who was a pupil of mine until he turned to evil... helped the Empire hunt down and destroy the Jedi knights. He betrayed and murdered your father. Now the Jedi are all but extinct. Vader was seduced by the dark side of the Force. The Force? The Force is what gives a Jedi his power. It's an energy field created by all living things. It surrounds us and penetrates us. It binds the galaxy together. Let's see if we can't figure out what you are, little friend... and where you come from. - I saw part of a message-- - I seem to have found it. General Kenobi, years ago you served my father in the Clone Wars. Now he begs you to help him in his struggle against the Empire. I regret that I am unable to present my father's request in person. But my ship has fallen under attack... and my mission to bring you to Alderaan has failed. I have placed information vital to the survival of the rebellion... into the memory systems of this R2 unit. My father will know how to retrieve it. You must see this droid safely delivered to him on Alderaan. This is our most desperate hour. Help me, Obi-Wan Kenobi. You're my only hope. You must learn the ways of the Force if you're to come with me to Alderaan. Alderaan? I'm not going to Alderaan. I've gotta get home. I'm in for it as it is. I need your help, Luke. She needs your help. I'm getting too old for this sort of thing. I can't get involved. I've got work to do. It's not that I like the Empire. I hate it.",88.293,300,before dark times before How did my father die named who was pupil of mine until he turned to evil helped hunt down and destroy knights He betrayed and murdered your father Now are all but extinct was seduced by dark side of is what gives his power It is energy field created by living things It surrounds us and penetrates us It binds galaxy together Let us see if we can not figure out what you are little friend and where you come from I saw part of I seem to have found it years ago you served my father in Now he begs you to help him in his struggle against I regret that I am unable to present my father 's request in person But my ship has fallen under attack and my mission to bring you to has failed I have placed information vital to survival of rebellion into memory systems of unit My father will know how to retrieve it You must see droid safely delivered to him on This is our most desperate hour Help me You are my only hope You must learn ways of if you are to come with me to I am not going to I have got to get home I am in for it as it is I need your help She needs your help I am getting too old for sort of thing I can not get involved I have got work to do It is not that I like I hate it,remorse
