Scene,Text,TimeTaken,NumberOfWords,clean_text,emotion
1,"Big House, Vantage Holdings Presents In association with Showbox, Mediaplex lnc, lSU Venture Capital Hanwha Venture Capital, Hancomm, Michigan Venture Capital and Daishin Venture Capital a Bidangil Pictures production Executive producers CHEONG Eui-seok, KIM Sun-yong, JHUNG Seung-koo Co-executive producers KIM Woo-taek, JHE Min-ho, PARK Jae-su, PARK Joon-tae, CHO ll-hyung, KANG Tak-young Executive producer CHIN Hee-moon Starring KIM Yoon-suk And HA Jung-woo Director of photography LEE Sung-je Lighting director LEE Choi-o Production designer LEE Min-bog (AURA) Location sound KIM Sin-yong (LIVE) Edited by KIM Sun-min Music by KIM Jun-seok CHOI Yong-rock (M&F) Sound supervisor CHOI Tae-young (LIVE TONE) Visual effects by KIM Tae-hun (MIX) Line producer CHOI Moon-su kay, a little more. Produced by KIM Su-jin, YUN In-beom You had some more space. How could you park like that? Its all right. I'll be out in a jiffy anyway. Written and Directed by NA Hong-jin This way. Sir, so is that your car? You bitch, you're dead if I catch you. The Chaser Yes. Yes. I'm back! I'm sorry, sir. Two of our girls ran away. Business has been bad lately. I've already put such a big advance on those girls. But sir, I can't get that much money ready in three days. Once I collect the money from them, and pay you back... Turn it off, asshole! Can't you see I was on the phone?",88.67999999999999,225,In association with lnc and production Executive producers seok - executive producers taek ll hyung young Executive producer moon Starring suk And of photography director o Production designer bog AURA sound Edited by min by seok supervisor young LIVE TONE Visual effects by Line producer little more Produced by beom You had more space How could you park like that Its all right I will be out in jiffy anyway Written and Directed by jin way so is that your car You bitch you are dead if I catch you Yes Yes I am back I am sorry sir of our girls ran away Business has been bad lately I have already put big advance on girls But I can not get that much money ready in days Once I collect money from them and pay you back Turn it off asshole Can not you see I was on phone,remorse
2,"You have no fucking manners. Did you hand them out? - Yes, sir. - Go hand out some more, idiot! Dumb asshole. Yes. Where? Hapjung district. Provence Motel, room 301. I'll send her now. - Hello. - Hey. You came fast. Seong-hee, you don't look so young. - How old are you? - Thirty. You took good care of yourself. Nice body. Why? Need to go pee? - Yes. - Later. - No. - Go later. I told you to go later. - What's wrong? - Let go. - Just wanted to take some pictures. - Let go! Okay, I'll pay you instead. Let go, you pervert! What? Crazy assholes. Where is she? You fucking slut! You call me a pervert, huh? Watch your mouth, bitch! You want to die, huh? Come here, you bitch! - Mister. - You're dead! She's leaving. Calm down. - Get out! - Come here, bitch! - Mister. - Come over here! - She's leaving. - Bitch... Come here, you bitch! You're dead! - She's leaving now. - You bitch! - Calm down... - What the fuck... Who the hell are you? I'm her guardian, asshole. Sit down. Kneel down. Cover yourself! So what are you going to do? Let's settle this.",89.64,207,You have fucking manners Did you hand them out Yes Go hand out some more idiot Dumb asshole Yes Where district room I will send her now Hey You came fast you do not look so young How old are you You took good care of yourself Nice body Why Need to go pee Yes Later No Go later I told you to go later What is wrong Let go Just wanted to take pictures Let go Okay I will pay you instead Let go you pervert What Crazy assholes Where is she You fucking slut You call me pervert Watch your mouth bitch You want to die huh Come here you bitch You are dead She is leaving Calm down Get out Come here bitch Come over here She is leaving Bitch Come here you bitch You are dead She is leaving now You bitch down What fuck Who hell are you I am her guardian Sit down Kneel down Cover yourself So what are you going to do Let us settle this,anger
3,"Satisfied? There you are. Let me see. I'm quitting for real. Don't call me. Hey! Hey! Did you find the girls? Where did you find the car? In Mangwon district. Did you call the police? You crazy? Report girls who ran away from me? I told you they didn't run away. You used to be a detective. Then go find them instead of ripping people off. You crazy bitch, who says I'm ripping people off? I'm the one who's being ripped off. Bitches get a big advance from me and then disappear. Ask any asshole on the street what it means. Whether they've been sold or ran away. Rotten bastard. Hey! Hey! Seong-hee! That damn temper of hers. Meathead What? This bastard keeps rejecting the girls and now there's no one left. There's Mi-jin, idiot. She wants to rest because she's caught a cold. Cold my ass. I'm hanging up. What the fuck's wrong with everyone? Mom. Mom! What? Take the medicine. Bring me my cell phone, honey. Filth Yes, Jung-ho. Where are you? I'm sorry. I'm very sick. Where are you sick? I think it's a cold. I also have a fever. I'll take a day off. A cold? In the middle of summer? Are you with a guy? No. Are you trying to run away like the others? What are you saying?",87.80000000000001,224,Satisfied There you are Let me see I am quitting for real Do not call me Hey Hey Did you find girls Where did you find car In district Did you call police You crazy Report girls who ran away from me I told you they did not run away You used to be detective Then go find them instead of ripping people off You crazy bitch who says I am ripping people off I am one who is being ripped off Bitches get big advance from me and then disappear Ask asshole on street what it means Whether they have been sold or ran away bastard Hey Hey damn temper of hers What bastard keeps rejecting girls and now there is one left There is jin idiot She wants to rest because she is caught cold Cold my ass I am hanging up What fuck 's wrong with everyone What Take medicine Bring me my cell phone honey Where are you I am sorry I am very sick Where are you sick I think it is cold I also have fever I will take day off cold In middle of summer Are you with guy No Are you trying to run away like others What are you saying,annoyance
4,"You better get to work before you regret it. Okay? Why aren't you answering me? Jung-ho, please. Where do you live? I'm going over right now. Where is it? Okay, I'll go. Call Meathead. Yes. Damn it. What's this? You have to go? I'll be back soon. Yes, a Matiz. I'm wearing a white cardigan over a dress. Did it turn on? Yes. 4885? 4885... I've heard of it. 4885? Know this number? Yes, sir. He's a complete wacko. Mi-jin went to serve that bastard. Ji-young Mi-jin Shit. Where did she go? To Mangwon district. Yeah, it's that bastard. He sold them. It's me. Just answer yes or no. Are you with that bastard now? Your customer. At a motel or his home? Are you going to his house in your car? Okay, listen carefully. Memorize his address as you go into his house. Just do as I say. Don't get me upset. Soon as you go in, tell him you'll take a shower. Then text me his address. Simple, right? Don't let him be suspicious. You die if you screw up. I'm finally lucky. Shouldn't we report it? Want to see this business go down? Look after the office. Yes, sir. Who is it? My manager. Your boss? Yes.",89.00000000000003,210,You better get to work before you regret it Okay Why are not you answering me please Where do you live I am going over right now Where is it Okay I will go Call Yes Damn it What is this You have to go I will be back soon Yes I am wearing white cardigan over dress Did it turn on Yes I have heard of it Know number Yes sir He is complete wacko Mi went to serve bastard young jin Where did she go To district Yeah it is bastard He sold them It is me Just answer yes or no Are you with bastard now Your customer At motel or his home Are you going to his house in your car Okay listen carefully Memorize his address as you go into his house Just do as I say Do not get me upset Soon as you go in tell him you will take shower Then text me his address Simple right Do not let him be suspicious You die if you screw up I am finally lucky Should not we report it Want to see business go down Look after office Yes sir Who is it My manager Your boss Yes,anger
5,"Something wrong? No, he's worried that I'm sick. Which way shall I go? Over there. Park in front of the guard post. What a tough life. The mayor of Seoul. At the market at this hour. Jung-ho, what's up? Gil-woo, are you busy? I'm busy, why? Remember what I told you? - What? - About my girls running away. They didn't run away. They've been sold. The same guy called for the girls. So? Going to catch that asshole? - Yes. - Where are you? Mangwon district. Are you busy now? I told you I'm busy. I don't know how many of them there are. I might be outnumbered. Could you send a few ofyour guys at least? History will be the judge! Get the hell out! Gil-woo? Damn it. It's here. Mangwon district, 24-1 Something wrong? No. Come in. Okay. - Coming? - Yes. I'll take a shower. Sure, it's over there. Mangwon district Sending Message failed I think I left the condom in my car. I'll be right back. Okay. Mi-jin Your call cannot be connected. Damn it. Mi-jin - Your call cannot be connected. - What the... Hey. Do you know Ji-young? Haven't seen her for a while, have you? Hush, hush. She kept screaming, so I cut off her tongue. Good. Mi-jin. Scared?",88.92000000000002,217,Something wrong No he is worried that I am sick way shall I go Over there Park in front of guard post tough life mayor of At market at hour what is up are you busy I am busy why Remember what I told you What About my girls running away They did not run away They have been sold same guy called for girls So Going to catch asshole Yes Where are you Mangwon district Are you busy now I told you I am busy I do not know how many of them there are I might be outnumbered Could you send few ofyour guys at least History will be judge Get hell out Damn it It is here district Something wrong No Come in Okay Coming Yes I will take shower Sure it is over there Mangwon district failed I think I left condom in my car I will be right back Okay Mi jin Your call can not be connected Damn it Mi jin Your call can not be connected What Hey Do you know young Have not seen her for while have you Hush hush She kept screaming so I cut off her tongue Good jin,annoyance
6,"Do you want to go home? Why do you want to go home? Tell me why you should live. No reason? Spare me. Please let me live! No reason, right? Wait! I have one! I have a daughter. She's seven years old. Nobody would even know that you're dead. Nobody will look for you. Don't move. Don't move. It won't hurt at all. None of them felt any pain. It hurts if you move around. Damn it. 9256-4885 Your call cannot be connected. Damn it. Damn it. Who is it? Sorry to disturb you so late. Is Mr. Park home? Who are you people? Please leave There's no one by that name here. Mr. Park hasn't come to church lately. There's no sign of him. There's no such person here. Then did he move? I don't know. Oh, goodness, it's Pungsan. - Honey, isn't that Pungsan? - You're right. How'd you get so skinny? Let's go. Wait a minute. Look at her. Why are you being so stubborn? - Pungsan! - I'm sorry to disturb you. Let's go. Something's not right. Wait a minute. Sorry. Actually, he's sleeping. Come inside. - Do you live around here? - Yes. Have you seen a guy and a girl with long hair and a pale face? No, I haven't. - They were just here. - Sorry.",88.64,223,Do you want to go home Why do you want to go home Tell me why you should live reason Spare me Please let me live reason right Wait I have I have daughter She is years old Nobody would even know that you are dead Nobody will look for you Do not move Do not move It will not hurt at all None of them felt pain It hurts if you move around Damn it Your call can not be connected Damn it Damn it Who is it Sorry to disturb you so late Is home Who are you people Please leave There is one by name here has not come to church lately There is sign of him There is such person here Then did he move I do not know Oh goodness it is is not that You are right How did you get so skinny Let us go Wait minute Look at her Why are you being so stubborn I am sorry to disturb you Let us go Something is not right Wait minute Sorry Actually he is sleeping Come inside Do you live around here Yes Have you seen guy and girl with long hair and pale face No I have not They were just here Sorry,remorse
7,"Why do you keep on bothering me? Damn it. Fuck. I'm busy so just give me your number. The insurance will cover it. I said just give me your number. Forget it. Just go. What? It's all right. Just leave. Don't lay one on me later. Just give me your number. Mister! I'm all right, okay? Sir. I made a mistake, so I should make up for it. It's okay. Give me your number. I'll take care of it, okay? I said it's all right. I'm really okay, so can you move your car? You don't have to pay me. No, give me your number. I'll pay for the damage. You're hurt. Isn't that blood? What are you talking about? Move your car! I said move your car! Are you deaf? Lady, move your damn car! Pull out! - Pull out! - Hey, 4885. It's you, huh? Oh, brother. Son of a bitch. Answer it, asshole. You're dead meat. Get out. Hey! You! Hey! Son of a bitch. Stop, you son of a bitch! Wait till I catch you. Son of a bitch. Why are you running away? Think you'd get away? Asshole, what did you do with my girls? You already sold them? Asshole, who the hell are you? Ji Young-min Anyang city What the hell? Where's your house? Answer me.",88.92000000000003,222,Why do you keep on bothering me Damn it Fuck I am busy so just give me your number insurance will cover it I said just give me your number Forget it Just go What It is all right Just leave Do not lay on me later Just give me your number I am all right okay I made mistake so I should make up for it It is okay Give me your number I will take care of it okay I said it is all right I am really okay so can you move your car You do not have to pay me No give me your number I will pay for damage You are hurt Is not blood What are you talking about Move your car I said move your car Are you deaf Lady move your damn car Pull out Pull out It is you huh Oh brother of bitch Answer it asshole You are dead meat Get out Hey You Hey of bitch Stop you son of bitch Wait till I catch you of bitch Why are you running away Think you would get away what did you do with my girls You already sold them who hell are you min city What hell Where is your house Answer me,anger
8,"Answer me now. Anyang city. That's your address on paper. Where do you live now? Not talking? You block me? You son of a bitch. You pain in the ass. - Move, now! - Move your car back! Come here. Bastards. You caused this mess, asshole! Move. Out of the way. - Hey, Miss! - What kind of person did do that... Move. Out of the way. What are you doing? Get out! Get in the car. If there's an accident, you should go around. This won't solve anything. Move your car. Reverse! Move back! Sir! Hey, you! You can't park like this. Is that your car? Yes. Are you a cop? Yes, I am. Show me your badge. I left it at the police station. This is 390. Come in Mangwon station. ID check. What station do you work at? I was in a task force unit two years ago. Let's call them. Let's go to the station first. But my girls are being sold this very moment. Shut up! Let's go and talk! You son of a bitch. I told you to shut up! Damn it. No answer? No cell phone, either. Nothing he says makes sense. All we need to do is go to his house. Please write it all down, frankly. Yes, sir. People like him need to be deported. How dare you impersonate a cop! Asshole, tell the truth. Where did you sell the girls?",89.95999999999995,240,Answer me now city That is your address on paper Where do you live now Not talking You block me You son of bitch You pain in ass now Move your car back Come here Bastards You caused mess asshole Move Out of way What kind of person did do that Move Out of way What are you doing Get out Get in car If there is accident you should go around This will not solve anything Move your car Reverse Move back Hey you You can not park like this Is that your car Yes Are you cop Yes I am Show me your badge I left it at police station This is Come in station check station do you work at I was in task force unit years ago Let us call them Let us go to station first But my girls are being sold very moment Shut up Let us go and talk You son of bitch I told you to shut up Damn it answer cell phone either Nothing he says makes sense All we need to do is go to his house Please write it all down frankly Yes sir People like him need to be deported How dare you impersonate cop tell truth Where did you sell girls,anger
9,"Be quiet! Why are you shouting? Ask that bastard directly. You're out of line. Ask him! Don't just get on my case! You really sold them? Are you crazy? Sorry. He just wanted me to ask. This is fucking insane. Block them, idiot! Be quiet! Which hospital? St. Mary's Hospital. I'll call you from there. Why'd you throw shit on his face, you crazy bastard? Yes, Captain. I'm on my way now. How can I stop someone who pops up out of nowhere? Hey, cover the seat first before he gets in. Yes, the rest went to the hospital. Yes, I'll bring him in first. Mr. Ji Young-min, whose car is that? - Pardon? Car? - Yes. It belongs to someone I know. Who is that person you know? What? What's his name? I can't remember. Do you know his number? It's at home. Something wrong? No, it's strange you don't know the car owner. I have a very bad memory. Okay, just keep writing. Mr. Ji, does your number start with 01 1 or 01 6? 01 6 I thought you didn't have a phone. What? Where's your cell phone? At home. Then why did you lie? Tell me your number. It's 4885, right? No. Come on, I can find out easily. Did you sell the girls? No. Come on, did you sell the girls? I said no. I didn't sell them. - I killed them... - What? - Nothing. - You just said something. - What? - You said that you killed them. Yes. What?",89.67999999999999,257,Be quiet Why are you shouting Ask bastard directly You are out of line Ask him Do not just get on my case You really sold them Are you crazy Sorry He just wanted me to ask This is fucking insane Block them idiot Be quiet hospital 's I will call you from there Why did you throw shit on his face you crazy bastard Yes I am on my way now How can I stop someone who father up out of nowhere Hey cover seat first before he gets in Yes rest went to hospital Yes I will bring him in first car is that Car Yes It belongs to someone I know Who is person you know What What is his name I can not remember Do you know his number It is at home Something wrong No it is strange you do not know car owner I have very bad memory Okay just keep writing does your number start with or I thought you did not have phone What Where is your cell phone At home Then why did you lie Tell me your number It is right No Come on I can find out easily Did you sell girls No Come on did you sell girls I said no I did not sell them I killed them What Nothing You just said something What You said that you killed them Yes What,anger
10,"Yes, I killed them. Whose shit is it? Is it yours? History will be the judge of things! Damn you all! - Crazy asshole. - What a crazy... We're in deep trouble for this. This is crazy. I've been suffering. They've stopped the water supply and I haven't washed for ages. Jung-ho I can't even flush my own shit. Shut the hell up! Be quiet. What? I'm busy now. What are you talking about? How do you know whether he killed them or not? Anyway... Yes. Nine of them? He said he killed nine people? Hey, Jung-ho. Bastard. That Son of... Detective Oh. Yes? Remember the Mapo murder case? - Three murdered women? - Yeah. How many occurred in Mangwon district? All of them happened in Mangwon. In the ally at dawn. Really? Why? Never mind. What shall we do? Let's take him in first. His statement makes sense. It does, doesn't it? Bunch of idiots wasting time. What did you say? You're way out of line. Watch what you say. He's pretending to be crazy now. Hey! Shut up, you pimp. You're worse than this asshole. You sell out your old police badge to pimp girls. Take him to the car. - Yes? - Put him in the car! Yes, sir! We're not taking the blame for him beating this guy up. Let's not be like this, okay? Let's go. Hurry up. Hello. Gil-woo! Where are you going? Those idiots are holding him. - And just... - Hold on.",89.72000000000003,250,Yes I killed them Whose shit is it Is it yours History will be judge of things Damn you all Crazy asshole What crazy We are in deep trouble for this This is crazy I have been suffering They have stopped water supply and I have not washed for ages I can not even flush my own shit Shut hell up Be quiet What I am busy now What are you talking about How do you know whether he killed them or not Anyway Yes of them He said he killed people Hey of Oh Yes Remember Mapo murder case murdered women Yeah How many occurred in district All of them happened in In ally at dawn Really Why Never mind What shall we do Let us take him in first His statement makes sense It does does not it of idiots wasting time What did you say You are way out of line Watch what you say He is pretending to be crazy now Hey Shut up you pimp You are worse than asshole You sell out your old police badge to pimp girls Take him to car Yes Put him in car Yes sir We are not taking blame for him beating guy up Let us not be like this okay Let us go Hurry up Hello Where are you going idiots are holding him And just Hold on,anger
