Scene,Text,TimeTaken,NumberOfWords,clean_text,emotion
1,"- Three of a kind, let's do this. - That's it? Three guys? Two guys on the roof. Every guy gets a share. Five shares is plenty. Six shares. Don't forget the guy who planned the job. He thinks he can sit it out and still take a slice. - I know why they call him the Joker. - Why do they call him the Joker? - I heard he wears makeup. - Makeup? Yeah, to scare people. You know, war paint. All right, everybody, hands up, heads down! I said, hands up, heads down! Let's go, pal, I'm making a withdrawal here. - I said, hands up! - No! Here comes the silent alarm. And there it goes. Heads down! All right, tootsie, you're taking a dive with me. - Down! I said, stay down there! - Don't hurt me! Funny, it didn't dial 911. It was trying to reach a private number. - Is it a problem? - No, I'm done here. Sit down! Down! Down! I said, stay down there! Obviously we don't want you doing anything with your hands... ...other than holding on for dear life. On the ground! Stay on the ground! Nobody make a move! Nobody! Stay down! Yeah! You have any idea who you're stealing from? - You and your friends are dead. - He's out, right? What...? Where did you learn to count? They wired this thing up with like 5000 volts. What kind of bank does that? A Mob bank. I guess the Joker's as crazy as they say. Where's the alarm guy? Boss told me when the guy was done, I should take him out. One less share, right? Funny, he told me something similar. He what? No! No! That's a lot of money. If this Joker guy was so smart, he'd have had us bring a bigger car.",89.111,309,of kind let us do this That is it guys guys on roof guy gets share shares is plenty shares Do not forget guy who planned job He thinks he can sit it out and still take slice I know why they call him Why do they call him I heard he wears makeup Yeah to scare people You know war paint All right everybody hands up heads down I said hands up heads down Let us go pal I am making withdrawal here I said hands up No Here comes silent alarm And there it goes Heads down All right you are taking dive with me Down I said stay down there Do not hurt me Funny it did not dial It was trying to reach private number Is it problem No I am done here Sit down Down Down I said stay down there Obviously we do not want you doing anything with your hands other than holding on for dear life On ground Stay on ground Nobody make move Nobody Stay down Yeah You have idea who you are stealing from You and your friends are dead He is out right What Where did you learn to count They wired thing up with like volts kind of bank does that bank I guess 's as crazy as they say Where is alarm guy told me when guy was done I should take him out less share right Funny he told me something similar He what No No That is lot of money If guy was so smart he would have had us bring bigger car,neutral
2,"I'm betting the Joker told you to kill me soon as we loaded the cash. No, no, no, I kill the bus driver. Bus driver? What bus driver? School's out. Time to go. That guy's not getting up, is he? That's a lot of money. What happened to the rest of the guys? You think you're smart, huh? The guy that hired youse... ...he'll just do the same to you. Oh, criminals in this town used to believe in things. Honor... ...respect. Look at you. What do you believe in, huh? What do you believe in?! I believe whatever doesn't kill you simply makes you... ...stranger. Mr. Mayor, you were elected in a campaign to clean up the city. - When are you gonna start? - I already have. Like this Batman. We're hearing he's doing good, criminals are running scared. - No, man. I don't like it tonight. - What are you, superstitious? You got more chance of winning the Powerball than running into him. That's not true. Our men in the Major Crimes Unit are close to an arrest. Hey, Wuertz, mayor says you're closing in on the Batman. The investigation is ongoing. The process of cleaning up the streets is a long one. I pledged in my campaign, uh, to have... Ever intending to see your wife again, lieutenant? I thought you had to go look after your mother, detective. Checked her back into the hospital. I'm sorry. - So he hasn't shown up? - He often doesn't. - I like reminding everybody he's out there. - Why wouldn't he come? Hopefully... ...because he's busy.",88.197,268,I am betting told you to kill me soon as we loaded cash No no no I kill bus driver Bus driver What bus driver 's out Time to go guy 's not getting up is he That is lot of money What happened to rest of guys You think you are smart guy that hired youse he will just do same to you Oh criminals in town used to believe in things Honor respect Look at you What do you believe in huh What do you believe in I believe whatever does not kill you simply makes you stranger you were elected in campaign to clean up city When are you going to start I already have Like We are hearing he is doing good criminals are running scared No man I do not like it tonight What are you superstitious You got more chance of winning than running into him That is not true Our men in are close to arrest Hey mayor says you are closing in on investigation is ongoing process of cleaning up streets is long I pledged in my campaign uh to have Ever intending to see your wife again lieutenant I thought you had to go look after your mother detective Checked her back into hospital I am sorry So he has not shown up He often does not I like reminding everybody he is out there Why would not he come Hopefully because he is busy,neutral
3,"That's why we bring dogs. - My little princes. - Please. Please, they're crawling in my mouth. Please, I beg you, get them off. Look what your drugs do to my customers. Buyer beware. I told you my compound would take you places. I never said they'd be places you wanted to go. My business, repeat customers. You don't like what I have to offer, you can buy from someone else. Assuming Batman left anyone to buy from. My dogs are hungry. Pity there's only one of you. - What...? - That's not him. Loose the dogs! That's more like it. Don't let me find you out here again. - We're trying to help you. - I don't need help. Not my diagnosis. What gives you the right? What's the difference between you and me? I'm not wearing hockey pads. Everybody back now! He can't resist showing us his face. What's he hiding under that makeup? Uh, can we get a minute, people, please? Him again. Who are the others? Another bunch of smalltimers. Some of the marked bills I gave you. My detectives have been making drug buys with them. This bank was another drop for the Mob. That makes five. - We found the bulk of their dirty cash. - Time to move in. We'd have to hit all banks simultaneously. SWAT teams, backup. What about this Joker guy? One man or the entire Mob? He can wait. When the new DA hears about this, he'll want in. - Do you trust him? - Be hard to keep him out.",88.13999999999999,262,That is why we bring dogs My little princes Please Please they are crawling in my mouth Please I beg you get them off Look what your drugs do to my customers Buyer beware I told you my compound would take you places I never said they would be places you wanted to go My business repeat customers You do not like what I have to offer you can buy from someone else Assuming left anyone to buy from My dogs are hungry there is only of you What That is not him Loose dogs That is more like it Do not let me find you out here again We are trying to help you I do not need help Not my diagnosis What gives you right What is difference between you and me I am not wearing hockey pads Everybody back now He can not resist showing us his face What is he hiding under makeup Uh can we get minute people please Him again Who are others bunch of smalltimers Some of marked bills I gave you My detectives have been making drug buys with them bank was drop for Mob That makes We found bulk of their dirty cash Time to move in We would have to hit banks simultaneously teams backup What about guy man or entire Mob He can wait When new DA hears about this he will want in Do you trust him Be hard to keep him out,sadness
4,"I hear he's as stubborn as you are. Be nice when Wayne Manor's rebuilt. You can swap not sleeping in a penthouse... ...for not sleeping in a mansion. Whenever you stitch yourself up, you do make a bloody mess. Yeah. It makes me learn from my mistakes. You ought to be pretty knowledgeable by now, then. My armor. I'm carrying too much weight. I need to be... I need to be faster. I'm sure Mr. Fox can oblige. - Did you get mauled by a tiger? - It was a dog. It was a big dog. There were more copycats last night, Alfred, with guns. Why not hire them, take the weekend off? That wasn't exactly what I had in mind... - ...when I said I wanted to inspire people. - I know. But things have improved. Look at the new district attorney. I am, closely. Need to know if he can be trusted. Are you interested in his character or his social circle? Who Rachel spends her time with is her business. I trust you don't have me followed on my day off. If you ever took one, I might. Know your limits, Master Wayne. Batman has no limits. - Well, you do, sir. - Well, can't afford to know them. And what's gonna happen on the day that you find out? We all know how much you like to say ""I told you so."" On that day, Master Wayne, even I won't want to. Probably. Sorry I'm late, folks. - Where were you? - Worried you'd have to step up? - Harvey, I know these briefs backwards. - Well, then...",89.25699999999999,272,I hear he is as stubborn as you are Be nice when 's rebuilt You can swap not sleeping in penthouse for not sleeping in mansion Whenever you stitch yourself up you do make bloody mess Yeah It makes me learn from my mistakes You ought to be pretty knowledgeable by now then My armor I am carrying too much weight I need to be I need to be faster I am sure can oblige Did you get mauled by tiger It was dog It was big dog There were more copycats last night with guns Why not hire them take weekend off That was not exactly what I had in mind when I said I wanted to inspire people I know But things have improved Look at new district attorney I am closely Need to know if he can be trusted Are you interested in his character or his social circle Who spends her time with is her business I trust you do not have me followed on my day off If you ever took I might Know your limits has limits Well you do Well can not afford to know them And what is going to happen on day that you find out We all know how much you like to say I told you so On day even I will not want to Probably Sorry I am late folks Where were you Worried you would have to step up I know briefs backwards Well then,remorse
5,"...fair's fair. Heads, I'll take it. Tails, he's all yours. Yeah? You wanna flip a coin to see who leads? My father's lucky coin. As I recall, it got me my first date with you. I wouldn't leave something like that up to chance. I don't. I make my own luck. All rise. The Honorable Judge Freel presiding. I thought the DA just played golf with the mayor. Teeoff's 1:30. More than enough time to put you away for life, Sally. With Carmine Falcone in Arkham... ...someone must have stepped up to run the so-called family. Is that man in this courtroom today? - Could you identify him for us, please? - You win, counselor. It was me. I have a sworn statement from you that this man... ...Salvatore Maroni, is the new head of the Falcone crime family. Maroni? He's a fall guy. I'm the brains of the organization. - Order. - Permission to treat the witness as hostile? - Granted. - Hostile? I'll show you hostile! Carbon fiber, .28 caliber, made in China. If you wanna kill a public servant, Mr. Maroni, I recommend you buy American. - Get him out of here. - But, Your Honor, I'm not done. We'll never be able to link the gun to Maroni, so we can't charge him. But they're trying to kill you, means we're getting to them. I'm glad you're so pleased, Rachel. I'm fine, by the way. Come on, Harvey. You're Gotham's DA. You're not getting shot at, you're not doing your job right. But, you know... ...if you said you were rattled, we could take the rest of the day off. Can't. I dragged the head of the Major Crimes Unit down here. Oh, Jim Gordon? He's a friend, actually. Try to be nice.",89.127,297,fair 's fair Heads I will take it Tails he is all yours Yeah You want to flip coin to see who leads My father 's lucky coin As I recall it got me my first date with you I would not leave something like that up to chance I do not I make my own luck rise Honorable presiding I thought just played golf with mayor 's More than enough time to put you away for life With in someone must have stepped up to run so called family Is man in courtroom today Could you identify him for us please You win counselor It was me I have sworn statement from you that man is new head of crime family He is fall guy I am brains of organization Permission to treat witness as hostile Granted Hostile I will show you hostile Carbon fiber caliber made in If you want to kill public servant I recommend you buy Get him out of here But Your I am not done We will never be able to link gun to so we can not charge him But they are trying to kill you means we are getting to them I am glad you are so pleased I am fine by way Come on You are 's DA You are not getting shot at you are not doing your job right But you know if you said you were rattled we could take rest of day off Can not I dragged head of down here Oh He is friend actually Try to be nice,neutral
6,"I hear you got a hell of a right cross. It's a shame Sal's going to walk. Yeah, well, good thing about the Mob is they keep giving you second chances. Lightly irradiated bills. Fancy stuff for a city cop. Have help? We liaise with various agencies... Save it, Gordon. I wanna meet him. Official policy is to arrest the vigilante known as Batman on sight. What about that floodlight on the top of MCU? If you got problems with malfunctioning equipment... ...I suggest you take them up with Maintenance, counselor. I've put every money launderer in Gotham behind bars... ...but the Mob is still getting its money out. I think you and your friend have found the last game in town. You're trying to hit them where it hurts, their wallets. It's bold. You gonna count me in? In this town, the fewer people know something, the safer the operation. I don't like that you got your own special unit... ...and it's full of cops I investigated at Internal Affairs. If I didn't work with cops you'd investigated while at IA... ...I'd be working alone. I don't get political points for being an idealist. I do the best I can with what I have. You want me to back warrants for search and seizure on five banks... ...without telling me what we're after. I can give you the names of the banks. Well, that's a start. I'll get you your warrants, but I want your trust. Oh, you don't have to sell me, Dent. We all know you're Gotham's white knight. Yeah, well, I heard they have a different name for me down at MCU. I wouldn't know about that. In China, Lau Security Investments stands for dynamic new growth. A joint Chinese venture with Wayne Enterprises will be a powerhouse. Well, Mr. Lau...",89.964,305,I hear you got hell of right cross It is shame 's going to walk Yeah well good thing about Mob is they keep giving you second chances Lightly irradiated bills Fancy stuff for city cop Have help We liaise with various agencies Save it I want to meet him Official policy is to arrest vigilante known as on sight What about floodlight on top of If you got problems with malfunctioning equipment I suggest you take them up with counselor I have put money launderer in behind bars but is still getting its money out I think you and your friend have found last game in town You are trying to hit them where it hurts their wallets It is bold You going to count me in In town fewer people know something the safer operation I do not like that you got your own special unit and it is full of cops I investigated at If I did not work with cops you would investigated while at I would be working alone I do not get political points for being idealist I do best I can with what I have You want me to back warrants for search and seizure on banks without telling me what we are after I can give you names of banks Well that is start I will get you your warrants but I want your trust Oh you do not have to sell me We all know you are 's white knight Yeah well I heard they have different name for me down at I would not know about that In stands for dynamic new growth joint Chinese venture with will be powerhouse Well,neutral
7,"...I speak for the rest of the board... ...and Mr. Wayne, in expressing our own excitement. Sir, I know Mr. Wayne is curious about how his trust fund gets replenished... ...but, frankly, this is embarrassing. You worry about the diligence, Mr. Reese. I'll worry about Bruce Wayne. It's done. The numbers are solid. Do them again. Wouldn't want the trust fund to run out, now, would we? Another long night? This joint venture was your idea, and the consultants love it. But I'm not convinced. Lau's company has grown by 8 percent annually like clockwork. His revenue stream must be off the books... ...maybe even illegal. Okay. Cancel the deal. You already knew. Just needed a closer look at their books. Anything else you can trouble me for? I need a new suit. Yeah. Three buttons is a little '90s, Mr. Wayne. I'm not talking fashion, Mr. Fox, so much as function. You wanna be able to turn your head. Sure make backing out of the driveway easier. I'll see what I can do. Took three weeks to get a reservation here. I had to tell them I work for the government. - Really? - Health inspector's not afraid to pull strings. Rachel. Fancy that. Yeah, Bruce. Fancy that. Rachel, Natascha. Natascha, Rachel. - Natascha. Are you the prima...? - Prima ballerina for the Moscow Ballet. - Wow. Harvey's taking me next week. - Really? So you're into ballet? Bruce. This is Harvey Dent. The famous Bruce Wayne. Rachel's told me everything about you. I certainly hope not.",87.38199999999996,258,I speak for rest of board and in expressing our own excitement I know is curious about how his trust fund gets replenished but frankly this is embarrassing You worry about diligence I will worry about It is done numbers are solid Do them again Would not want trust fund to run out now would we long night joint venture was your idea and consultants love it But I am not convinced 's company has grown by percent annually like clockwork His revenue stream must be off books maybe even illegal Okay Cancel deal You already knew Just needed closer look at their books Anything else you can trouble me for I need new suit Yeah buttons is little ' 90s I am not talking fashion so much as function You want to be able to turn your head Sure make backing out of driveway easier I will see what I can do Took weeks to get reservation here I had to tell them I work for government Really inspector 's not afraid to pull strings Fancy that Yeah Fancy that Are you prima ballerina for 's taking me next week Really So you are into ballet This is famous 's told me everything about you I certainly hope not,curiosity
8,"- Let's put a couple tables together. - I'm not sure that they'll let us. Oh, they should. I own the place. How could you want to raise children in a city like this? - Well, I was raised here. I turned out okay. - Is Wayne Manor in the city limits? Is...? The Palisades? Sure. You know, as our new DA, you might wanna figure out where your jurisdiction ends. I'm talking about the kind of city that idolizes a masked vigilante. Gotham City is proud of an ordinary citizen standing up for what's right. Gotham needs heroes like you, elected officials... - ...not a man who thinks he's above the law. - Who appointed the Batman? We did. All of us who stood by and let scum take control of our city. But this is a democracy, Harvey. When their enemies were at the gates... ...the Romans would suspend democracy and appoint one man to protect the city. It wasn't considered an honor, it was a public service. Harvey, the last man that they appointed to protect the republic was named Caesar... - ...and he never gave up his power. - Okay, fine. You either die a hero... ...or you live long enough to see yourself become the villain. Whoever the Batman is, he doesn't wanna do this for the rest of his life. How could he? Batman is looking for someone to take up his mantle. Someone like you, Mr. Dent? Maybe. If I'm up to it. What if Harvey Dent is the Caped Crusader? If I were sneaking out every night, someone would've noticed by now. Well, I'm sold, Dent, and I'm gonna throw you a fundraiser. That's nice, but I'm not up for reelection for three years. No, you don't understand.",87.844,296,Let us put couple tables together I am not sure that they will let us Oh they should I own place How could you want to raise children in city like this Well I was raised here I turned out okay Is in city limits Is Sure You know as our new you might want to figure out where your jurisdiction ends I am talking about kind of city that idolizes masked vigilante is proud of ordinary citizen standing up for what is right needs heroes like you elected officials not man who thinks he is above law Who appointed We did All of us who stood by and let scum take control of our city But this is democracy When their enemies were at gates would suspend democracy and appoint man to protect city It was not considered honor it was public service last man that they appointed to protect republic was named and he never gave up his power Okay fine You either die hero or you live long enough to see yourself become villain Whoever is he does not want to do this for rest of his life How could he is looking for someone to take up his mantle Someone like you Maybe If I am up to it What if is If I were sneaking out night someone would have noticed by now Well I am sold and I am going to throw you fundraiser That is nice but I am not up for reelection for years No you do not understand,neutral
9,"One fundraiser with my pals... ...you'll never need another cent. What the hell is this? As you're all aware, one of our deposits was stolen. A relatively small amount, 68 million. Who's stupid enough to steal from us? Two-bit wackjob, wears a cheap purple suit and makeup. He's not the problem. He's a nobody. The problem is our money being tracked by the cops. Thanks to Mr. Maroni's well-placed sources... ...we know that police have indeed identified our banks using marked bills... ...and are planning to seize your funds today. And since the enthusiastic new DA has put all my competitors out of business... - ...I'm your only option. - So, what are you proposing? Moving all deposits to one secure location, not a bank. - Where, then? - No one can know but me. If the police were to gain leverage over one of you... ...everyone's money would be at stake. What stop them getting to you? I go to Hong Kong, far from Dent's jurisdiction... ...and the Chinese will not extradite one of their own. How soon can you move the money? I already have. For obvious reasons, I couldn't wait for your permission. Rest assured, your money is safe. And I thought my jokes were bad. Give me one reason why I shouldn't have my boy pull your head off. How about a magic trick? I'm gonna make this pencil disappear. Ta-da! It's... It's gone. Oh, and by the way, the suit, it wasn't cheap. - You ought to know, you bought it. - Sit.",87.671,258,fundraiser with my pals you will never need cent What hell is this As you are all aware of our deposits was stolen relatively small amount Who is stupid enough to steal from us bit wackjob wears cheap purple suit and makeup He is not problem He is nobody problem is our money being tracked by cops Thanks to 's well placed sources we know that police have indeed identified our banks using marked bills and are planning to seize your funds today And since enthusiastic new has put my competitors out of business I am your only option So what are you proposing Moving deposits to secure location not bank Where then one can know but me If police were to gain leverage over of you everyone is money would be at stake What stop them getting to you I go to far from 's jurisdiction and will not extradite of their own How soon can you move money I already have For obvious reasons I could not wait for your permission Rest assured your money is safe And I thought my jokes were bad Give me reason why I should not have my boy pull your head off How about magic trick I am going to make pencil disappear It is It is gone Oh and by way suit it was not cheap You ought to know you bought it Sit,gratitude
10,"I want to hear proposition. Let's wind the clocks back a year. These cops and lawyers wouldn't dare cross any of you. I mean, what happened? Did your balls drop off? Hm? You see, a guy like me... - A freak. - Damn right. A guy like me... Look, listen. I know why you choose to have your little, ahem... ...group-therapy sessions in broad daylight. I know why you're afraid to go out at night. The Batman. See, Batman has shown Gotham your true colors, unfortunately. Dent, he's just the beginning. And as for the television's so-called plan... ...Batman has no jurisdiction. He'll find him and make him squeal. I know the squealers when I see them... ...and... What do you propose? It's simple. We, uh, kill the Batman. If it's so simple, why haven't you done it already? If you're good at something, never do it for free. How much you want? Uh, half. - You're crazy. - No, I'm not. No, I'm not. If we don't deal with this now... ...soon... ...little Gambol here won't be able to get a nickel for his grandma. Enough from the clown!",88.37700000000001,190,I want to hear proposition Let us wind clocks back year cops and lawyers would not dare cross any of you I mean what happened Did your balls drop off Hm You see guy like me freak Damn right guy like me Look listen I know why you choose to have your little ahem group therapy sessions in broad daylight I know why you are afraid to go out at night has shown your true colors unfortunately he is just beginning And as for television 's so called plan has jurisdiction He will find him and make him squeal I know squealers when I see them and What do you propose It is simple We uh kill If it is so simple why have not you done it already If you are good at something never do it for free How much you want Uh half You are crazy No I am not No I am not If we do not deal with this now soon little here will not be able to get nickel for his grandma Enough from clown,neutral
