Scene,Text,TimeTaken,NumberOfWords,clean_text,emotion
1,"Big House, Vantage Holdings Presents In association with Showbox, Mediaplex lnc, lSU Venture Capital Hanwha Venture Capital, Hancomm, Michigan Venture Capital and Daishin Venture Capital a Bidangil Pictures production Executive producers CHEONG Eui-seok, KIM Sun-yong, JHUNG Seung-koo Co-executive producers KIM Woo-taek, JHE Min-ho, PARK Jae-su, PARK Joon-tae, CHO ll-hyung, KANG Tak-young Executive producer CHIN Hee-moon Starring KIM Yoon-suk And HA Jung-woo Director of photography LEE Sung-je",25.96,66,In association with lnc and production Executive producers seok - executive producers taek ll hyung young Executive producer moon Starring suk And of photography,neutral
2,"Lighting director LEE Choi-o Production designer LEE Min-bog (AURA) Location sound KIM Sin-yong (LIVE) Edited by KIM Sun-min Music by KIM Jun-seok CHOI Yong-rock (M&F) Sound supervisor CHOI Tae-young (LIVE TONE) Visual effects by KIM Tae-hun (MIX) Line producer CHOI Moon-su kay, a little more. Produced by KIM Su-jin, YUN In-beom You had some more space. How could you park like that? Its all right. I'll be out in a jiffy anyway. Written and Directed by NA Hong-jin",30.28,78,Lighting director o Production designer bog AURA sound Edited by min by seok supervisor young LIVE TONE Visual effects by Line producer little more Produced by beom You had more space How could you park like that Its all right I will be out in jiffy anyway Written and Directed by jin,approval
3,"This way. Sir, so is that your car? You bitch, you're dead if I catch you. The Chaser Yes. Yes. I'm back! I'm sorry, sir. Two of our girls ran away. Business has been bad lately. I've already put such a big advance on those girls. But sir, I can't get that much money ready in three days. Once I collect the money from them, and pay you back...",29.16,69,way so is that your car You bitch you are dead if I catch you Yes Yes I am back I am sorry sir of our girls ran away Business has been bad lately I have already put big advance on girls But I can not get that much money ready in days Once I collect money from them and pay you back,anger
4,"Turn it off, asshole! Can't you see I was on the phone? You have no fucking manners. Did you hand them out? - Yes, sir. - Go hand out some more, idiot! Dumb asshole. Yes. Where? Hapjung district. Provence Motel, room 301. I'll send her now. - Hello. - Hey.",20.720000000000002,50,Turn it off asshole Can not you see I was on phone You have fucking manners Did you hand them out Yes Go hand out some more idiot Dumb asshole Yes Where district room I will send her now Hey,anger
5,"You came fast. Seong-hee, you don't look so young. - How old are you? - Thirty. You took good care of yourself. Nice body. Why? Need to go pee? - Yes. - Later. - No. - Go later. I told you to go later. - What's wrong? - Let go. - Just wanted to take some pictures. - Let go! Okay, I'll pay you instead. Let go, you pervert!",25.919999999999998,69,You came fast you do not look so young How old are you You took good care of yourself Nice body Why Need to go pee Yes Later No Go later I told you to go later What is wrong Let go Just wanted to take pictures Let go Okay I will pay you instead Let go you pervert,caring
6,"What? Crazy assholes. Where is she? You fucking slut! You call me a pervert, huh? Watch your mouth, bitch! You want to die, huh? Come here, you bitch! - Mister. - You're dead! She's leaving. Calm down. - Get out! - Come here, bitch! - Mister. - Come over here!",25.679999999999996,50,What Crazy assholes Where is she You fucking slut You call me pervert Watch your mouth bitch You want to die huh Come here you bitch You are dead She is leaving Calm down Get out Come here bitch Come over here,anger
7,"- She's leaving. - Bitch... Come here, you bitch! You're dead! - She's leaving now. - You bitch! - Calm down... - What the fuck... Who the hell are you? I'm her guardian, asshole. Sit down. Kneel down. Cover yourself! So what are you going to do? Let's settle this. Satisfied?",21.799999999999997,51,She is leaving Bitch Come here you bitch You are dead She is leaving now You bitch down What fuck Who hell are you I am her guardian Sit down Kneel down Cover yourself So what are you going to do Let us settle this Satisfied,anger
8,There you are. Let me see. I'm quitting for real. Don't call me. Hey! Hey! Did you find the girls? Where did you find the car? In Mangwon district. Did you call the police? You crazy? Report girls who ran away from me? I told you they didn't run away.,18.52,50,There you are Let me see I am quitting for real Do not call me Hey Hey Did you find girls Where did you find car In district Did you call police You crazy Report girls who ran away from me I told you they did not run away,neutral
9,"You used to be a detective. Then go find them instead of ripping people off. You crazy bitch, who says I'm ripping people off? I'm the one who's being ripped off. Bitches get a big advance from me and then disappear. Ask any asshole on the street what it means. Whether they've been sold or ran away. Rotten bastard. Hey! Hey! Seong-hee! That damn temper of hers. Meathead",27.200000000000003,68,You used to be detective Then go find them instead of ripping people off You crazy bitch who says I am ripping people off I am one who is being ripped off Bitches get big advance from me and then disappear Ask asshole on street what it means Whether they have been sold or ran away bastard Hey Hey damn temper of,anger
10,"What? This bastard keeps rejecting the girls and now there's no one left. There's Mi-jin, idiot. She wants to rest because she's caught a cold. Cold my ass. I'm hanging up. What the fuck's wrong with everyone? Mom. Mom! What? Take the medicine. Bring me my cell phone, honey. Filth",22.28,50,What bastard keeps rejecting girls and now there is one left There is jin idiot She wants to rest because she is caught cold Cold my ass I am hanging up What fuck 's wrong with everyone What Take medicine Bring me my cell phone honey Filth,anger
11,"Yes, Jung-ho. Where are you? I'm sorry. I'm very sick. Where are you sick? I think it's a cold. I also have a fever. I'll take a day off. A cold? In the middle of summer? Are you with a guy? No. Are you trying to run away like the others? What are you saying?",18.6,55,Yes Where are you I am sorry I am very sick Where are you sick I think it is cold I also have fever I will take day off cold In middle of summer Are you with guy No Are you trying to run away like others What are you saying,curiosity
12,"You better get to work before you regret it. Okay? Why aren't you answering me? Jung-ho, please. Where do you live? I'm going over right now. Where is it? Okay, I'll go. Call Meathead. Yes. Damn it. What's this? You have to go?",20.6,43,You better get to work before you regret it Okay Why are not you answering me please Where do you live I am going over right now Where is it Okay I will go Call Yes Damn it What is this You have to go,neutral
