Scene,Text,TimeTaken,NumberOfWords,clean_text,emotion
1,"You need some help, man. Oh, God. I don't care. You want to mess up your own shit. But you're going to mess up mine, too. I need to know you got my back. Not that you're going to come falling through the door behind me... Don't worry your pretty little spic head off. Anyway. That was all I wanted to say. Is that it? Fuck you. Scudder. Remember us?",21.338,70,You need help man Oh I do not care You want to mess up your own shit But you are going to mess up mine too I need to know you got my back Not that you are going to come falling through door behind me Do not worry your pretty little spic head off Anyway That was all I wanted to say Is that it Fuck you Scudder Remember us,anger
2,"Okay, get out. Both of you. I told you last night that we... Oh, my God! Is everybody okay? Get down! Get behind me! Get down! Move it! - Stay low! - Duck inside! Hey, Matt. It's me, Peter. You know, Peter Kristo... Oh, Peter. Hi. Do I know you, Peter?",17.035,51,Okay get out Both of you I told you last night that we Oh my Is everybody okay Get down Get behind me Get down Move it Stay low Duck inside Hey It is me You know Oh Hi Do I know you,neutral
3,"Yeah, I led a meeting a few weeks ago. You know, I'm a painter, got hooked on smack in art school... Oh, yeah. You're the guy did the Jackson Pollock number on the wall of the john with the blood from your... - Syringe. - Yeah. - Yeah, that was me. - I enjoyed your story. Oh! Thanks. Appreciate it. Do you mind? Sure, sit down. Can't smoke in here, honey. - Yeah. - Something wrong, Peter?",23.499000000000002,77,Yeah I led meeting few weeks ago You know I am painter got hooked on smack in art school Oh yeah You are guy did number on wall of with blood from your Syringe Yeah Yeah that was me I enjoyed your story Oh Thanks Appreciate it Do you mind Sure sit down Can not smoke in here honey Yeah Something wrong,gratitude
4,"It's my brother, you know? He needs your help. What kind of help? I think it would be better if you came out to Clinton Hill, talked about it there with him. Clinton Hill. Yeah, he'll pay for your cab out there and back, and your time. Whether you take it or not. Please, just hear what he got to say, that's all I'm asking. When does your brother want to have this chat? Well, you know. Right now. That's what I was afraid you were gonna say. - Here you go, Matt. - Thanks, Jenny. Yeah, I'm sorry.",26.666999999999998,99,It is my brother you know He needs your help kind of help I think it would be better if you came out to talked about it there with him Yeah he will pay for your cab out there and back and your time Whether you take it or not Please just hear what he got to say that is all I am asking When does your brother want to have chat Well you know Right now That is what I was afraid you were going to say Here you go Yeah I am sorry,fear
5,"You're eating. I'll come back. Yeah, if you're... Jenny, would you keep this warm for me, please? I'll be back. Half an hour, right there on the right. That's it. Yeah, it's a nice place, right? All right, Mr. Matt. Go on up. Kenny don't like me smoking in the house, so... Hey, Kenny. Mr. Scudder. Come in. Can I get you something to drink? Not a ""drink"" drink, I know you know Peter from AA, but there's coffee made, or I can offer you a soda.",25.119,87,You are eating I will come back Yeah if you are would you keep warm for me please I will be back hour right there on right That is it Yeah it is nice place right All right Go on up do not like me smoking in house so Hey Come in Can I get you something to drink Not drink drink I know you know from but there is coffee made or I can offer you soda,approval
6,"I'm fine. So you're a private detective, is that right? - Unlicensed. - What's that mean? It means that sometimes I do favors for people, and sometimes, in return, they give me gifts. Gifts. Uh, but you used to be a cop, right? Yeah, I was with the 6th Precinct in the Village for a while. And before that, I was over here with the 75th. So why'd you quit? I didn't like the hours, Mr. Kristo. Nah, the corruption got to you, huh? Not really.",28.305999999999997,86,I am fine So you are private detective is that right Unlicensed What is that mean It means that sometimes I do favors for people and sometimes in return they give me gifts Gifts Uh but you used to be cop right Yeah I was with 6th in for while And before that I was over here with 75th So why did you quit I did not like hours corruption got to you huh Not really,curiosity
7,"It would have been hard to support my family without it. So, what can I do for you? Well, this was really my brother's idea, you know, bringing you out here. You want, I can leave. Someone's kidnapped my wife. That's a federal matter. They said not to call the cops. Naturally they would. When did this happen? Yesterday. You should be talking to the FBI. - I'm talking to you. - Look, Mr. Kristo... - Kenny. - Kenny.",22.436999999999998,79,It would have been hard to support my family without it So what can I do for you Well this was really my brother 's idea you know bringing you out here You want I can leave Someone is kidnapped my wife That is federal matter They said not to call cops Naturally they would When did this happen Yesterday You should be talking to I am talking to you Look,neutral
8,"If you're asking me to run a bag, deliver money, that is not something I do. I already paid them. When? Last night. How much? $400,000. And your wife? Where is she? She's dead. I paid them, but they killed her anyway. I see. - I'm sorry. - I don't want you to be sorry. I want you to find the men who did this and bring them to me.",21.322,70,If you are asking me to run bag deliver money that is not something I do I already paid them When Last night How much And your wife Where is she She is dead I paid them but they killed her anyway I see I am sorry I do not want you to be sorry I want you to find men who did this and bring them to me,sadness
9,"You say you paid them the 400 the same day? That's right. You mind if I ask what kind of business you're in, Kenny? Construction. What exactly do you construct? Houses. Then I guess Peter's standing outside right now because he what? Doesn't like your building methods? Peter's not supposed to associate with people like me. People in my profession. Since when is drug dealing a profession? I mean, that's the reason, isn't it? I'm sitting here and not the cops? You're a dealer.",27.202,84,You say you paid them same day That is right You mind if I ask what kind of business you are in Construction What exactly do you construct Houses Then I guess 's standing outside right now because he what Does not like your building methods 's not supposed to associate with people like me People in my profession Since when is drug dealing profession I mean that is reason is not it I am sitting here and not cops You are dealer,neutral
10,"Properly speaking, I'm more of a trafficker than a dealer. You understand the distinction. I really don't give a shit one way or the other. But whoever it was took your wife didn't just pick your name out of a hat. They must have had some idea you had that kind of cash on hand. That's exactly what I want you to find out. Who did this? Now there's $20,000. Consider it my gift to you. There's 20 more, you find the two fucks who killed her. So that you can kill them. I'm sorry, but I can't help you.",28.022999999999996,100,Properly speaking I am more of trafficker than dealer You understand distinction I really do not give shit way or other But whoever it was took your wife did not just pick your name out of hat They must have had idea you had kind of cash on hand That is exactly what I want you to find out Who did this Now there is Consider it my gift to you There is more you find fucks who killed her So that you can kill them I am sorry but I can not help you,caring
11,"Would've been nice, you told me what your brother was. Yeah, you wouldn't a come. That's right. I wouldn't have. I stopped drinking that day. Just wasn't as much fun after that. Well, I guess I'm just a... Anyway, I'm eight years sober. And I... Well... That's all. Thanks. Howie. Hurt yourself? Found it out back by the dumpster. Mrs. Dolgren in 202",25.814999999999998,63,Would have been nice you told me what your brother was Yeah you would not come That is right I would not have I stopped drinking day Just was not as much fun after that Well I guess I am just a Anyway I am years sober And I Well That is all Thanks Hurt yourself Found it out back by dumpster in,gratitude
