Number,StartMilliseconds,EndMilliseconds,Text
1,127460,129404,TEHRAN
2,149415,151154,"Ticket and passport, please."
3,154254,157255,"Ma'am, I need
your ticket and passport."
4,175942,177942,"Marji, stop running!"
5,178344,180413,"Look, there's Nioucha!"
6,182448,184392,"Marji, haven't you grown!"
7,184551,185892,Got a present for me?
8,186052,188052,"How was Paris?
You saw Bruce Lee?"
9,188221,189892,And the Eiffel Tower?
10,190056,191090,Welcome to Tehran.
11,191257,193292,"-We've missed you.
-I'll take your bags."
12,193459,195096,No! I'll get them.
13,195261,196966,"Hurry, everyone's waiting!"
14,197497,198838,I remember...
15,198998,201601,"...I led a peaceful, uneventful life..."
16,201768,203268,...as a little girl.
17,203570,207275,"I loved fries with ketchup,
Bruce Lee was my hero..."
18,207440,210247,"...I wore Adidas sneakers,
and had two obsessions:"
19,210410,211615,Shaving my legs one day...
20,211778,213778,"...and being the last prophet
of the galaxy."
21,213947,214947,Tehran 1978
22,224524,228491,"Slip a pencil under your breasts.
If it falls, they're great."
23,229162,231197,"If it sticks, they're crap."
24,231898,235172,"Shake her
and you'll fill a box of pencils."
25,237103,238512,Calm down.
26,238671,240944,They let me see him last week.
27,241107,243051,The state he's in...
28,243209,245516,"They said they'd free him, though."
29,245678,248179,"-It'll soon be four years.
-Don't worry."
30,248348,251451,"This regime will collapse
sooner or later."
31,251618,253528,"Mom, Marji kicked my head!"
32,254187,259256,"The dragon's revenge
is a bitter dish best served cold."
33,259425,261801,This dragon is heading...
34,261961,263166,...for a good thrashing.
35,268334,270141,"I, Marjane..."
36,270303,272644,"...future prophet, hereby decide:"
37,272805,275908,"First, everyone must behave well."
38,276075,279349,"Second, everyone must
keep their word."
39,279512,282446,"Third, everyone must do good."
40,282815,287055,"Fourth, the poor must all eat
one roasted chicken every day."
41,287453,290488,"Fifth, old women
will never suffer again."
42,290657,292998,"Well, Marji, in that case..."
43,293159,295103,...I'll be your first disciple.
44,295261,297000,You will? Great!
45,297163,300107,"How'll you make sure
old women don't suffer?"
46,300266,301869,It'll be forbidden.
47,302035,304536,Why didn't I think of that?
48,304704,306113,What's going on?
49,307206,312378,"Down with the Shah! Down with
the Shah! Down with the Shah!"
50,319819,320990,I knew it!
51,321154,322154,I told you so!
52,322322,323527,I knew it!
53,324891,327426,This is a historic moment!
54,334400,336241,He'll pay for what he's done.
55,336402,339539,"Your poor father
will be avenged at last."
56,339706,342241,"The Shah can join his pals
in Washington."
57,342408,346182,"Personally,
I think I like the Shah."
58,347146,348953,He was chosen by God.
59,350049,351890,Absolutely.
60,352051,353790,God told me so Himself.
61,353953,356022,God and my teacher too.
62,356823,359130,The Shah wasn't chosen by God.
63,359292,361463,That's not true! My teacher-
64,364097,365802,That's what people say.
65,365965,368000,Here's what really happened.
66,368167,370440,"The truth is, 50 years ago..."
67,370603,372774,"...the Shah's father,
an army officer..."
68,372939,375940,"...wanted to overthrow
the Qadjar emperor."
69,376109,377484,As Ataturk did in Turkey.
70,377643,381087,"I shall modernize Iran
and make it a republic!"
71,381247,384157,"The English heard about this,
and one day..."
72,384317,387988,Hello! Why create a republic...
73,388154,390495,...when you could be emperor?
74,390656,392293,Me? Emperor?
75,392558,393865,Of course!
76,394026,396129,It's better than being president.
77,396295,398398,You'll have all the power.
78,398564,400371,A country like yours...
79,400566,403942,"...needs a strong man like you
to lead it."
80,405304,406679,You have a point.
81,407006,408484,Besides...
82,408641,412108,"...the religious leaders
are against a republic..."
83,412278,414949,"...and, frankly, they're right."
84,415114,416955,What do I have to do?
85,417116,419719,Nothing. Just give us the oil...
86,419886,422330,...and we'll take care of the rest.
87,426025,428503,I'm the king now!
88,428694,431035,All your property is mine!
89,431197,433402,"So, in fact, he was a moron."
90,434000,435034,Yes and no.
91,435234,438007,"He was a dictator,
but he modernized Iran."
92,438171,440308,"In a way, he loved his country..."
93,440473,442508,"...unlike his son
who succeeded him."
94,442675,444414,I'm the king now!
95,444610,446679,I'm the light of the Aryans.
96,446846,450722,"I'll make this country
the most modern one ever!"
97,450883,453986,"Our people will regain
their splendor."
98,454821,457628,"Yes, the Shah's father
was very cruel."
99,457790,459665,He even jailed your grandpa.
100,459826,461826,But his son is ten times worse.
101,462028,463562,Grandpa was in jail?
102,463830,465865,Yes. He had royal blood.
103,466032,468032,He was a Qadjar prince.
104,468201,470372,The Shah's father ruined him.
105,470536,473741,"He was jailed above all
for being a communist."
106,479178,484247,"My grandpa was a Qadjar prince
and a ""communiss. """
107,548681,549749,Dear God.
108,549916,552621,"You're alive!
I was worried sick."
109,552785,555922,"-They opened fire on the crowd.
-We had a close call, Grandma."
110,556088,559293,"Tadji and I ran,
but the soldiers cornered us."
