Scene,Text,TimeTaken,NumberOfWords,clean_text,emotion
1,"WOODS NEAR QUANTICO, VA Starling! Starling! Crawford wants to see you in his office. Thank you, sir. - Clarice. - Hey. You looking for Crawford? He should be back in a minute. Wait in his office. Starling. - Clarice M. Good morning. - Morning, Mr Crawford.",25.687,46,WOODS Starling wants to see you in his office Thank you Hey You looking for He should be back in minute Wait in his office Starling morning,gratitude
2,"Sorry to pull you off the course at such short notice. Your instructors tell me you're doing well. I hope so. They haven't posted any grades yet. A job's come up and I thought about you. Not a job, really. More of an interesting errand. Sit down. Yes, sir. I remember you from my seminar at UVA. You grilled me pretty hard, as I recall, on the Bureau's civil rights record in the Hoover years. I gave you an A. A-minus, sir.",31.051000000000002,82,Sorry to pull you off course at such short notice Your instructors tell me you are doing well I hope so They have not posted grades yet job 's come up and I thought about you Not job really More of interesting errand Sit down Yes I remember you from my seminar at You grilled me pretty hard as I recall on 's civil rights record in years I gave you A. minus,optimism
3,"Double major: Psych and criminology. Graduated magna. Summer internships at the Reitzinger Clinic. It says, when you graduate, you wanna work for me in Behavioural Science. Yes, very much, sir. Very much. We're interviewing all serial killers now in custody for a psycho-behavioural profile. Could be a real help in unsolved cases. Most of them have been happy to talk to us. - Do you spook easily, Starling? - Not yet, sir. See, the one we want most refuses to cooperate.",29.770000000000003,81,Double major and criminology Graduated magna Summer internships at It says when you graduate you want to work for me in Yes very much sir Very much We are interviewing serial killers now in custody for psycho behavioural profile Could be real help in unsolved cases Most of them have been happy to talk to us Do you spook easily Starling Not yet one we want most refuses to cooperate,neutral
4,"I want you to go after him again today in the asylum. - Who's the subject? - The psychiatrist, Hannibal Lecter. Hannibal the Cannibal. I don't expect him to talk to you. But I have to be able to say we tried. So if he won't cooperate, I want just straight reporting. How does he look? How does his cell look? Is he sketching, drawing? If he is, what's he sketching? Here's a dossier on Lecter.",26.19,76,I want you to go after him again today in asylum Who is subject psychiatrist I do not expect him to talk to you But I have to be able to say we tried So if he will not cooperate I want just straight reporting How does he look How does his cell look Is he sketching drawing If he is what is he sketching Here is dossier on,neutral
5,"A copy of our questionnaire and a special ID for you. Have your memo on my desk by 0800 Wednesday. OK. Excuse me, sir, but why the urgency? Lecter's been in prison for so many years. Is there some connection between him and Buffalo Bill maybe? I wish there were. Now, I want your full attention, Starling. - Yes, sir. - Be very careful with Hannibal Lecter. Dr Chilton at the asylum will go over all the physical procedures used with him. Do not deviate from them for any reason whatsoever.",32.867,91,copy of our questionnaire and special ID for you Have your memo on my desk by OK Excuse me sir but why urgency 's been in prison for so many years Is there connection between him and maybe I wish there were Now I want your full attention Starling Yes Be very careful with at asylum will go over physical procedures used with him Do not deviate from them for reason whatsoever,caring
6,"And you're to tell him nothing personal. Believe me, you don't want Hannibal Lecter inside your head. Just do your job, but never forget what he is. And what is that? Oh, he's a monster. A pure psychopath. So rare to capture one alive. From a research point of view, Lecter is our most prized asset. We get a lot of detectives here, but I can't ever remember one as attractive. Will you be in Baltimore overnight?",28.704,77,And you are to tell him nothing personal Believe me you do not want inside your head Just do your job but never forget what he is And what is that Oh he is monster pure psychopath So rare to capture alive From research point of view is our most prized asset We get lot of detectives here but I can not ever remember as attractive Will you be in overnight,anger
7,"Because this can be quite a fun town if you have the right guide. I'm sure this is a great town, Dr Chilton, but my instructions are to talk to Dr Lecter and report back this afternoon. I see. Well, let's make this quick, then. We've tried to study him, but he's much too sophisticated for the standard tests. Oh, my, does he hate us! He thinks I'm his nemesis. Crawford's very clever, isn't he, using you? - What do you mean, sir? - A pretty, young woman to turn him on.",33.543,92,Because this can be fun town if you have right guide I am sure this is great town but my instructions are to talk to and report back afternoon I see Well let us make this quick then We have tried to study him but he is much too sophisticated for standard tests Oh my does he hate us He thinks I am his nemesis 's very clever is not he using you What do you mean pretty young woman to turn him on,admiration
8,"I don't believe Lecter's seen a woman in eight years. And are you ever his taste! So to speak. I graduated from UVA, Doctor. It's not a charm school. Good. Then you should be able to remember the rules. Do not touch or approach the glass. You pass him nothing but soft paper. No pencils or pens. No staples or paperclips in his paper. Use the sliding food carrier. If he attempts to pass you anything, do not accept it. - Do you understand me? - Yes, I understand, sir. I'm going to show you why we insist on such precautions.",32.513,101,I do not believe 's seen woman in years And are you ever his taste So to speak I graduated from It is not charm school Good Then you should be able to remember rules Do not touch or approach glass You pass him nothing but soft paper pencils or pens staples or paperclips in his paper Use sliding food carrier If he attempts to pass you anything do not accept it Do you understand me Yes I understand I am going to show you why we insist on such precautions,neutral
9,"On July 8, 1981, he complained of chest pains and was taken to the dispensary. His restraints were removed for an EKG. When the nurse leaned over him, he did this to her. The doctors managed to reset her jaw, more or less, save one of her eyes. His pulse never got above 85, even when he ate her tongue. - I keep him in here. - Dr Chilton. If Lecter feels that you're his enemy, then maybe we'll have more luck if I go in by myself. What do you think? You might have suggested this in my office and saved me the time.",36.225,105,On he complained of chest pains and was taken to dispensary His restraints were removed for EKG When nurse leaned over him he did this to her doctors managed to reset her jaw more or less save of her eyes His pulse never got above even when he ate her tongue I keep him in here If feels that you are his enemy then maybe we will have more luck if I go in by myself What do you think You might have suggested this in my office and saved me time,neutral
10,"Yes, sir, but then I would have missed the pleasure of your company, sir. When she's finished, bring her out. Hi, I'm Barney. He told you, don't get near the glass? Yes, he did. Clarice Starling. Nice to meet you, Clarice. You can hang your coat up there if you like. Thank you. I will. He's past the others, the last cell. You keep to the right. - I put out a chair for you. - That's very good. Thank you.",30.886,81,Yes sir but then I would have missed pleasure of your company sir When she is finished bring her out Hi I am He told you do not get near glass Yes he did Nice to meet you You can hang your coat up there if you like Thank you I will He is past others last cell You keep to right I put out chair for you That is very good Thank you,gratitude
