Scene,Text,TimeTaken,NumberOfWords,clean_text,emotion
1,"A hundred years ago, all was right with our world. Prosperity and peace filled our days. The Four Nations: Water, Earth, Fire and Air Nomads lived amongst each other in harmony. Great respect was afforded to all those who could bend their natural element. The Avatar was the only person born amongst all the nations",22.491,55,years ago all was right with our world Prosperity and peace filled our days and lived amongst other in harmony Great respect was afforded to those who could bend their natural element was only person born amongst nations,realization
2,"who could master all four elements. He was the only one who could communicate with the Spirit world. With the Spirits'guidance, the Avatar kept balance in the world. And then, a hundred years ago, he just disappeared. I'm sorry. I'm sorry! Hey, I'm sorry. I'm sorry, I'm sorry, I'm sorry!",19.032,50,who could master elements He was only who could communicate with world With Spirits'guidance kept balance in world And then years ago he just disappeared I am sorry I am sorry Hey I am sorry I am sorry I am sorry I am sorry,remorse
3,"I'm sorry! I'm sorry! Hey! It worked better that time. I thought about Mom. Isn't that strange? Yeah. I guess so. Just stop doing that stuff around me. I always get wet. My brother and I live in the Southern water Tribe, which was once a big city. Our father is off fighting in The war.",22.297,56,I am sorry I am sorry Hey It worked better time I thought about Is not that strange Yeah I guess so Just stop doing stuff around me I always get wet My brother and I live in water which was once big city Our father is off fighting in war,remorse
4,"My mother was taken prisoner and killed when I was young. In this time of war, food is scarce. My brother and I often go hunting for food, but, unfortunately, my brother isn't the best hunter in the world. - Tiger seal. - Are you sure? I did everything Dad said to do.",16.698,53,My mother was taken prisoner and killed when I was young In time of war food is scarce My brother and I often go hunting for food but unfortunately my brother is not best hunter in world seal Are you sure I did everything said to do,disappointment
5,"I watched which side of the fin tracks are more indented. That shows which direction they're going. I saw how long the drag skids are. That shows you how fast they're going. There's something under there. It's a cave-in! Move away from the cracks! Katara, don't go near it. This is probably some Fire Nation trick.",17.587,56,I watched side of fin tracks are more indented That shows direction they are going I saw how long drag skids are That shows you how fast they are going There is something under there It is cave in Move away from cracks do not go near it This is probably trick,neutral
6,"Just back away really slow. Katara! Do not hit that sphere! Uncle, look! Is he breathing? Did you see that light shoot into the sky? What's your name?",11.830000000000002,28,Just back away really slow Do not hit sphere Uncle look Is he breathing Did you see that light shoot into sky What is your name,neutral
7,How did you get here? How did you get in the ice? He's exhausted. We need to get him back to the village. What is this thing? It's trying to eat me! Look. See?,12.365,34,How did you get here How did you get in ice He is exhausted We need to get him back to village What is thing It is trying to eat me Look See,curiosity
8,How'd you get all the way out here? I ran away from home. We got in a storm. We were forced under the water of the ocean. I see. It wasn't very smart. I was just upset. - Thanks for saving me. - Lucky.,12.98,44,How did you get way out here I ran away from home We got in storm We were forced under water of ocean I see It was not very smart I was just upset Thanks for saving me Lucky,disappointment
9,I probably should get home. They'll all be worried. - You're not still upset? - Not as much as I was. The Fire Nation is here. - What? - And they brought their machines. Don't come out till I tell you it's safe. - Is something wrong? - No. Please wait here.,15.412999999999998,52,I probably should get home They will all be worried You are not still upset Not as much as I was is here What And they brought their machines Do not come out till I tell you it is safe Is something wrong No Please wait here,neutral
10,"- Hurry, now! - Secure the area! It can't be coincidence that we break him out of the ice, light shoots into the sky and now the Fire Nation is here with their machines. Sokka, don't. I am Prince Zuko... ...son of Fire Lord Ozai and heir to the throne!",17.246000000000002,50,now Secure area It can not be coincidence that we break him out of ice light shoots into sky and now is here with their machines do not I am son of and heir to throne,neutral
